# Time 		 LdAvg 		 NumCpusUsed 	 TotalCpus 	 UsrSysProcessCnt/CPU 	 CpuUsrSysUtil%
16:42:59	0.84	0.88	1.78	4	96	0	3
16:43:04	0.93	0.9	1.79	8	96	18	2
16:43:09	1.1	0.93	1.79	3	96	29	2
16:43:14	1.25	0.97	1.8	6	96	5	3
16:43:17	1.25	0.97	1.8	12	96	8	1
