# Time 		 LdAvg 		 NumCpusUsed 	 TotalCpus 	 UsrSysProcessCnt/CPU 	 CpuUsrSysUtil%
16:47:04	2.08	1.55	1.49	4	96	0	4
16:47:17	3.74	1.92	1.62	3	96	37	3
16:47:22	3.68	1.94	1.62	13	96	5	2
