# Time 		 LdAvg 		 NumCpusUsed 	 TotalCpus 	 UsrSysProcessCnt/CPU 	 CpuUsrSysUtil%
13:31:28	14.29	12.14	8.71	4	96	0	3
13:31:58	14.8	12.48	8.93	4	96	23	2
