# Time 		 LdAvg 		 NumCpusUsed 	 TotalCpus 	 UsrSysProcessCnt/CPU 	 CpuUsrSysUtil%
13:17:07	8.46	3.77	4.34	4	96	0	3
13:17:26	7.86	3.94	4.38	13	96	7	7
13:17:35	7.47	3.93	4.37	3	96	37	3
