# Time 		 LdAvg 		 NumCpusUsed 	 TotalCpus 	 UsrSysProcessCnt/CPU 	 CpuUsrSysUtil%
13:44:59	2.67	3.84	6.23	4	96	0	3
13:45:06	3.12	3.9	6.23	3	96	51	4
13:45:16	3.33	3.92	6.21	13	96	4	4
13:45:26	3.13	3.85	6.16	3	96	32	2
13:45:31	3.12	3.84	6.14	4	96	27	2
