# Time 		 LdAvg 		 NumCpusUsed 	 TotalCpus 	 UsrSysProcessCnt/CPU 	 CpuUsrSysUtil%
16:51:33	0.72	0.56	1.23	4	96	0	3
16:51:43	0.93	0.61	1.24	3	96	39	1
16:51:53	0.93	0.62	1.24	14	96	4	1
