# Time 		 LdAvg 		 NumCpusUsed 	 TotalCpus 	 UsrSysProcessCnt/CPU 	 CpuUsrSysUtil%
12:29:33	6.06	4.84	5	4	96	0	0
12:29:50	5.91	4.88	5.01	13	96	6	6
