# Time 		 LdAvg 		 NumCpusUsed 	 TotalCpus 	 UsrSysProcessCnt/CPU 	 CpuUsrSysUtil%
11:32:04	1.62	1.01	1.22	4	96	0	3
11:32:06	2.45	1.2	1.28	4	96	45	2
11:32:25	2.42	1.25	1.3	10	96	7	2
