# Time 		 LdAvg 		 NumCpusUsed 	 TotalCpus 	 UsrSysProcessCnt/CPU 	 CpuUsrSysUtil%
16:18:45	2.18	1.72	1.63	4	96	0	3
16:18:46	2.33	1.76	1.64	4	96	28	3
16:19:01	2.48	1.82	1.66	3	96	49	3
16:19:06	2.77	1.89	1.68	3	96	0	5
16:19:16	3.12	1.99	1.72	5	96	7	3
16:19:20	3.12	1.99	1.72	14	96	7	2
